KIT;KIT2;Poste;Fileiras;Graus;Região;Módulo;Módulos;Qtd;Produto;Custo Unit;Custo Total;Custo/Mód;Preço S/ Impostos;TABELA PREÇO;Majorado;Tabela 18%;Tabela 7%;PREÇO DA MESA /MÓDULO
;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 2 ;Biposte;2;20;2;1134;80;8;SOLOGRAMPTERM1;1.25;10.02;0.13;0.21;0.23;0.25;0.28;0.25;171.86999999999998
SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 2 1303;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 2 ;Biposte;2;20;2;1303;80;22;PTM20BIPOSTE02;236.27;5197.85;64.97;106.51;117.37;130.41;146.41;127.18;205.51
;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 2 ;Biposte;2;20;2;1303;80;4;SL002C407X000BRT;62.47;249.88;3.12;5.12;5.64;6.27;7.04;6.11;205.51
;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 2 ;Biposte;2;20;2;1303;80;56;SL002C350X000BRT;53.72;3008.39;37.6;61.65;67.93;75.48;84.74;73.61;205.51
;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 2 ;Biposte;2;20;2;1303;80;56;EFSALJUNCAO400;3.91;218.78;2.73;4.48;4.94;5.49;6.16;5.35;205.51
;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 2 ;Biposte;2;20;2;1303;80;22;EFSALCONTVENT270;13.95;306.87;3.84;6.29;6.93;7.7;8.64;7.51;205.51
;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 2 ;Biposte;2;20;2;1303;80;156;PSGRAMPINTSMART2;0.7;109.51;1.37;2.24;2.47;2.75;3.08;2.68;205.51
;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 2 ;Biposte;2;20;2;1303;80;8;SOLOGRAMPTERM1;1.25;10.02;0.13;0.21;0.23;0.25;0.28;0.25;205.51
SOLO 2 FILEIRAS  BIPOSTE 20 GRAUS REGIAO 3 1134;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 3 ;Biposte;2;20;3;1134;80;20;PTM20BIPOSTE01;232.59;4651.7;58.15;95.32;105.04;116.71;131.03;113.82;182.76
;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 3 ;Biposte;2;20;3;1134;80;4;SL002C200X000BRT;30.7;122.79;1.53;2.52;2.77;3.08;3.46;3.0;182.76
;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 3 ;Biposte;2;20;3;1134;80;44;SL002C407X000BRT;62.47;2748.69;34.36;56.33;62.07;68.96;77.42;67.25;182.76
;SOLO 2 FILEIRAS BIPOSTE 20 GRAUS REGIAO 3 ;Biposte;2;20;3;1134;80;44;EFSALJUNCAO400;3.91;171.9;2.15;3.52;3.88;4.31;4.84;4.21;182.76
